id,城市,岗位,薪资,年限,学历要求,公司名称,公司类型,公司规模,创建时间
1,广州,Java后端,10.0,3.0,本科,震海集团,互联网,299,2024-09-10 16:00:00
2,广州,Java后端,5.0,0.0,大专,半度文化,广播/影视,59,2024-06-01 07:00:00
3,广州,Java后端,10.5,3.0,大专,葡萄柚,互联网,59,2024-03-05 15:00:00
4,广州,Java后端,25.0,5.0,本科,老百姓大药房,医疗健康,10000,2024-12-15 06:00:00
5,广州,Java后端,25.0,3.0,本科,某大型生活服务(O2O)上市公司,生活服务(O2O),5499,2024-04-03 13:00:00
6,广州,Java后端,11.0,3.0,本科,广州悦羚设计工程,装修装饰,59,2024-09-25 10:00:00
7,广州,Java后端,12.5,3.0,本科,顺然,计算机软件,299,2024-04-01 09:00:00
8,广州,Java后端,9.5,1.0,本科,奥祥投资,其他行业,59,2024-08-02 11:00:00
9,广州,Java后端,18.5,3.0,本科,易诚互动,互联网,5499,2024-11-24 00:00:00
10,广州,Java后端,11.0,0.0,大专,乐小龙,运营商/增值服务,59,2024-07-22 08:00:00
11,广州,Java后端,16.5,3.0,大专,天机智投,广告营销,59,2024-06-20 15:00:00
12,广州,Java后端,10.5,3.0,本科,德科信息,计算机软件,5499,2024-11-17 20:00:00
13,广州,Java后端,20.0,3.0,本科,库洛,游戏,5499,2024-10-28 09:00:00
14,广州,Java后端,17.5,3.0,本科,保号科技,计算机服务,10,2024-03-10 03:00:00
15,广州,Java后端,25.0,3.0,本科,某中型互联网公司,互联网,749,2024-11-03 08:00:00
16,广州,Java后端,16.5,3.0,本科,法本,计算机软件,10000,2024-08-03 17:00:00
17,广州,Java后端,20.5,3.0,学历不限,某大型银行公司,银行,5499,2024-01-21 16:00:00
18,广州,Java后端,60.0,5.0,硕士,某知名基金公司,基金,5499,2024-10-07 10:00:00
19,广州,Java后端,11.0,1.0,大专,润建股份,互联网,5499,2024-08-21 17:00:00
20,广州,Java后端,11.5,1.0,大专,寰讯智能,计算机软件,59,2024-01-14 16:00:00
21,广州,Java后端,11.5,3.0,大专,绛门科技,计算机软件,749,2024-12-17 10:00:00
22,广州,Java后端,14.0,3.0,大专,融合科技,电子商务,299,2024-06-08 04:00:00
23,广州,Java后端,15.0,3.0,本科,龙腾出行,互联网,299,2024-05-25 16:00:00
24,广州,Java后端,14.5,3.0,大专,睿尚迅纺,批发/零售,299,2024-03-16 18:00:00
25,广州,Java后端,22.5,3.0,本科,广西某大型社交网络与媒体非上市公司,社交网络与媒体,5499,2024-01-09 11:00:00
